year,team,win%,division,playoffs
2008,cle,0.25,4,1
2007,cle,0.625,2,1
2006,cle,0.25,4,1
2019,dal,0.5,2,1
2018,dal,0.625,1,3
2017,dal,0.5625,2,1
2016,dal,0.8125,1,3
2015,dal,0.25,4,1
2014,dal,0.75,1,3
2013,dal,0.5,2,1
2012,dal,0.5,3,1
2011,dal,0.5,3,1
2010,dal,0.375,3,1
2009,dal,0.6875,1,3
2008,dal,0.5625,3,1
2007,dal,0.8125,1,3
2006,dal,0.5625,2,2
2019,den,0.4375,2,1
2018,den,0.375,3,1
2017,den,0.3125,4,1
2016,den,0.5625,3,1
2015,den,0.75,1,6
2014,den,0.75,1,3
2013,den,0.8125,1,5
2012,den,0.8125,1,3
2011,den,0.5,1,3
2010,den,0.25,4,1
2009,den,0.5,2,1
2008,den,0.5,2,1
2007,den,0.4375,2,1
2006,den,0.5625,3,1
2019,det,0.21875,4,1
2018,det,0.375,4,1
2017,det,0.5625,2,1
2016,det,0.5625,2,2
2015,det,0.4375,3,1
2014,det,0.6875,2,2
2013,det,0.4375,3,1
2012,det,0.25,4,1
2011,det,0.625,2,2
2010,det,0.375,3,1
2009,det,0.125,4,1
2008,det,0.0,4,1
2007,det,0.4375,3,1
2006,det,0.1875,4,1
2019,gnb,0.8125,1,4
2018,gnb,0.40625,3,1
2017,gnb,0.4375,3,1
2016,gnb,0.625,1,4
2015,gnb,0.625,2,3
2014,gnb,0.75,1,4
2013,gnb,0.53125,1,2
2012,gnb,0.6875,1,3
2011,gnb,0.9375,1,3
2010,gnb,0.625,2,6
2009,gnb,0.6875,2,2
2008,gnb,0.375,3,1
2007,gnb,0.8125,1,4
2006,gnb,0.5,2,1
2019,htx,0.625,1,3
2018,htx,0.6875,1,2
2017,htx,0.25,3,1
2016,htx,0.5625,1,3
2015,htx,0.5625,1,2
2014,htx,0.5625,2,1
2013,htx,0.125,4,1
2012,htx,0.75,1,3
2011,htx,0.625,1,3
2010,htx,0.375,3,1
2009,htx,0.5625,2,1
2008,htx,0.5,3,1
2007,htx,0.5,4,1
2006,htx,0.375,4,1
2019,clt,0.4375,3,1
2018,clt,0.625,2,3
2017,clt,0.25,3,1
2016,clt,0.5,3,1
2015,clt,0.5,2,1
2014,clt,0.6875,1,4
2013,clt,0.6875,1,3
2012,clt,0.6875,2,2
2011,clt,0.125,4,1
2010,clt,0.625,1,2
2009,clt,0.875,1,5
2008,clt,0.75,2,2
2007,clt,0.8125,1,3
2006,clt,0.75,1,6
2019,jax,0.375,4,1
2018,jax,0.3125,4,1
2017,jax,0.625,1,4
2016,jax,0.1875,4,1
2015,jax,0.3125,3,1
2014,jax,0.1875,3,1
2013,jax,0.25,3,1
2012,jax,0.125,4,1
2011,jax,0.3125,3,1
2010,jax,0.5,2,1
2009,jax,0.4375,4,1
2008,jax,0.3125,4,1
2007,jax,0.6875,2,3
2006,jax,0.5,3,1
2019,kan,0.75,1,6
2018,kan,0.75,1,4
2017,kan,0.625,1,2
2016,kan,0.75,1,3
2015,kan,0.6875,2,3
2014,kan,0.5625,2,1
2013,kan,0.6875,2,2
2012,kan,0.125,4,1
2011,kan,0.4375,4,1
2010,kan,0.625,1,2
2009,kan,0.25,4,1
2008,kan,0.125,4,1
2007,kan,0.25,3,1
2006,kan,0.5625,2,2
2019,sdg,0.3125,4,1
2018,sdg,0.75,2,3
2017,sdg,0.5625,2,1
2016,sdg,0.3125,4,1
2015,sdg,0.25,4,1
2014,sdg,0.5625,2,1
2013,sdg,0.5625,3,3
2012,sdg,0.4375,2,1
2011,sdg,0.5,2,1
2010,sdg,0.5625,2,1
2009,sdg,0.8125,1,3
2008,sdg,0.5,1,3
2007,sdg,0.6875,1,4
2006,sdg,0.875,1,3
2019,ram,0.5625,3,1
2018,ram,0.8125,1,5
2017,ram,0.6875,1,2
2016,ram,0.25,3,1
2015,ram,0.4375,3,1
2014,ram,0.375,4,1
2013,ram,0.4375,4,1
2012,ram,0.46875,3,1
2011,ram,0.125,4,1
2010,ram,0.4375,2,1
2009,ram,0.0625,4,1
2008,ram,0.125,4,1
2007,ram,0.1875,4,1
2006,ram,0.5,2,1
2019,mia,0.3125,4,1
2018,mia,0.4375,2,1
2017,mia,0.375,3,1
2016,mia,0.625,2,2
2015,mia,0.375,4,1
2014,mia,0.5,3,1
2013,mia,0.5,3,1
2012,mia,0.4375,2,1
2011,mia,0.375,3,1
2010,mia,0.4375,3,1
2009,mia,0.4375,3,1
2008,mia,0.6875,1,2
2007,mia,0.0625,4,1
2006,mia,0.375,4,1
2019,min,0.625,2,3
2018,min,0.53125,2,1
2017,min,0.8125,1,4
2016,min,0.5,3,1
2015,min,0.6875,1,2
2014,min,0.4375,3,1
2013,min,0.34375,4,1
2012,min,0.625,2,2
2011,min,0.1875,4,1
2010,min,0.375,4,1
2009,min,0.75,1,4
2008,min,0.625,1,2
2007,min,0.5,2,1
2006,min,0.375,3,1
2019,nwe,0.75,1,2
2018,nwe,0.6875,1,6
2017,nwe,0.8125,1,5
2016,nwe,0.875,1,6
2015,nwe,0.75,1,4
2014,nwe,0.75,1,6
2013,nwe,0.75,1,4
2012,nwe,0.75,1,4
2011,nwe,0.8125,1,5
2010,nwe,0.875,1,3
2009,nwe,0.625,1,2
2008,nwe,0.6875,2,1
2007,nwe,1.0,1,5
2006,nwe,0.75,1,4
2019,nor,0.8125,1,2
2018,nor,0.8125,1,4
2017,nor,0.6875,1,3
2016,nor,0.4375,3,1
2015,nor,0.4375,3,1
2014,nor,0.4375,2,1
2013,nor,0.6875,2,3
2012,nor,0.4375,3,1
2011,nor,0.8125,1,3
2010,nor,0.6875,2,2
2009,nor,0.8125,1,6
2008,nor,0.5,4,1
2007,nor,0.4375,3,1
2006,nor,0.625,1,4
2019,nyg,0.25,3,1
2018,nyg,0.3125,4,1
2017,nyg,0.1875,4,1
2016,nyg,0.6875,2,2
2015,nyg,0.375,3,1
2014,nyg,0.375,3,1
2013,nyg,0.4375,3,1
2012,nyg,0.5625,2,1
2011,nyg,0.5625,1,6
2010,nyg,0.625,2,1
2009,nyg,0.5,3,1
2008,nyg,0.75,1,3
2007,nyg,0.625,2,6
2006,nyg,0.5,3,2
2019,nyj,0.4375,3,1
2018,nyj,0.25,4,1
2017,nyj,0.3125,4,1
2016,nyj,0.3125,4,1
2015,nyj,0.625,2,1
2014,nyj,0.25,4,1
2013,nyj,0.5,2,1
2012,nyj,0.375,3,1
2011,nyj,0.5,2,1
2010,nyj,0.6875,2,4
2009,nyj,0.5625,2,4
2008,nyj,0.5625,3,1
2007,nyj,0.25,3,1
2006,nyj,0.625,2,2
2019,rai,0.4375,2,1
2018,rai,0.25,4,1
2017,rai,0.375,3,1
2016,rai,0.75,2,2
2015,rai,0.4375,3,1
2014,rai,0.1875,4,1
2013,rai,0.25,4,1
2012,rai,0.25,3,1
2011,rai,0.5,3,1
2010,rai,0.5,3,1
2009,rai,0.3125,3,1
2008,rai,0.3125,3,1
2007,rai,0.25,4,1
2006,rai,0.125,4,1
2019,phi,0.5625,1,2
2018,phi,0.5625,2,3
2017,phi,0.8125,1,6
2016,phi,0.4375,4,1
2015,phi,0.4375,2,1
2014,phi,0.625,2,1
2013,phi,0.625,1,2
2012,phi,0.25,4,1
2011,phi,0.5,2,1
2010,phi,0.625,1,2
2009,phi,0.6875,2,2
2008,phi,0.59375,2,4
2007,phi,0.5,4,1
2006,phi,0.625,1,3
2019,pit,0.5,2,1
2018,pit,0.59375,2,1
2017,pit,0.8125,1,3
2016,pit,0.6875,1,4
2015,pit,0.625,2,3
2014,pit,0.6875,1,2
2013,pit,0.5,2,1
2012,pit,0.5,3,1
2011,pit,0.75,2,2
2010,pit,0.75,1,5
2009,pit,0.5625,3,1
2008,pit,0.75,1,6
2007,pit,0.625,1,2
2006,pit,0.5,3,1
2019,sfo,0.8125,1,5
2018,sfo,0.25,3,1
2017,sfo,0.375,4,1
2016,sfo,0.125,4,1
2015,sfo,0.3125,4,1
2014,sfo,0.5,3,1
2013,sfo,0.75,2,4
2012,sfo,0.71875,1,5
2011,sfo,0.8125,1,4
2010,sfo,0.375,3,1
2009,sfo,0.5,2,1
2008,sfo,0.4375,2,1
2007,sfo,0.3125,3,1
2006,sfo,0.4375,3,1
2019,sea,0.6875,2,3
2018,sea,0.625,2,2
2017,sea,0.5625,2,1
2016,sea,0.65625,1,3
2015,sea,0.625,2,3
2014,sea,0.75,1,5
2013,sea,0.8125,1,6
2012,sea,0.6875,2,3
2011,sea,0.4375,3,1
2010,sea,0.4375,1,3
2009,sea,0.3125,3,1
2008,sea,0.25,3,1
2007,sea,0.625,1,3
2006,sea,0.5625,1,3
2019,tam,0.4375,2,1
2018,tam,0.3125,4,1
2017,tam,0.3125,4,1
2016,tam,0.5625,2,1
2015,tam,0.375,4,1
2014,tam,0.125,4,1
2013,tam,0.25,4,1
2012,tam,0.4375,4,1
2011,tam,0.25,4,1
2010,tam,0.625,3,1
2009,tam,0.1875,4,1
2008,tam,0.5625,3,1
2007,tam,0.5625,1,2
2006,tam,0.25,4,1
2019,oti,0.5625,2,4
2018,oti,0.5625,3,1
2017,oti,0.5625,2,3
2016,oti,0.5625,2,1
2015,oti,0.1875,4,1
2014,oti,0.125,4,1
2013,oti,0.4375,2,1
2012,oti,0.375,3,1
2011,oti,0.5625,2,1
2010,oti,0.375,4,1
2009,oti,0.5,3,1
2008,oti,0.8125,1,3
2007,oti,0.625,3,2
2006,oti,0.5,2,1
2019,was,0.1875,4,1
2018,was,0.4375,3,1
2017,was,0.4375,3,1
2016,was,0.53125,3,1
2015,was,0.5625,1,2
2014,was,0.25,4,1
2013,was,0.1875,4,1
2012,was,0.625,1,2
2011,was,0.3125,4,1
2010,was,0.375,4,1
2009,was,0.25,4,1
2008,was,0.5,4,1
2007,was,0.5625,3,2
2006,was,0.3125,4,1
